SSC_NAME16	IndigenousStatus	persons
Aarons Pass	Aboriginal	0
Aarons Pass	Both Aboriginal & Torres Strait Islander	0
Aarons Pass	Non-indigenous	22
Aarons Pass	Torres Strait Islander	0
Abbotsbury	Aboriginal	19
Abbotsbury	Both Aboriginal & Torres Strait Islander	0
Abbotsbury	Non-indigenous	4234
Abbotsbury	Torres Strait Islander	0
Abbotsford (NSW)	Aboriginal	43
Abbotsford (NSW)	Both Aboriginal & Torres Strait Islander	0
Abbotsford (NSW)	Non-indigenous	5325
Abbotsford (NSW)	Torres Strait Islander	5
Abercrombie	Aboriginal	35
Abercrombie	Both Aboriginal & Torres Strait Islander	5
Abercrombie	Non-indigenous	1069
Abercrombie	Torres Strait Islander	0
Abercrombie River	Aboriginal	0
Abercrombie River	Both Aboriginal & Torres Strait Islander	0
Abercrombie River	Non-indigenous	22
Abercrombie River	Torres Strait Islander	0
Aberdare	Aboriginal	194
Aberdare	Both Aboriginal & Torres Strait Islander	21
Aberdare	Non-indigenous	2249
Aberdare	Torres Strait Islander	9
Aberdeen (NSW)	Aboriginal	143
Aberdeen (NSW)	Both Aboriginal & Torres Strait Islander	0
Aberdeen (NSW)	Non-indigenous	1941
Aberdeen (NSW)	Torres Strait Islander	0
Aberfoyle	Aboriginal	10
Aberfoyle	Both Aboriginal & Torres Strait Islander	0
Aberfoyle	Non-indigenous	92
Aberfoyle	Torres Strait Islander	0
Aberglasslyn	Aboriginal	290
Aberglasslyn	Both Aboriginal & Torres Strait Islander	5
Aberglasslyn	Non-indigenous	5097
Aberglasslyn	Torres Strait Islander	9
Abermain	Aboriginal	165
Abermain	Both Aboriginal & Torres Strait Islander	0
Abermain	Non-indigenous	2172
Abermain	Torres Strait Islander	0
Abernethy	Aboriginal	14
Abernethy	Both Aboriginal & Torres Strait Islander	0
Abernethy	Non-indigenous	334
Abernethy	Torres Strait Islander	0
Abington (NSW)	Aboriginal	0
Abington (NSW)	Both Aboriginal & Torres Strait Islander	0
Abington (NSW)	Non-indigenous	12
Abington (NSW)	Torres Strait Islander	0
Acacia Creek	Aboriginal	0
Acacia Creek	Both Aboriginal & Torres Strait Islander	0
Acacia Creek	Non-indigenous	42
Acacia Creek	Torres Strait Islander	0
Acacia Gardens	Aboriginal	19
Acacia Gardens	Both Aboriginal & Torres Strait Islander	0
Acacia Gardens	Non-indigenous	3779
Acacia Gardens	Torres Strait Islander	0
Adaminaby	Aboriginal	0
Adaminaby	Both Aboriginal & Torres Strait Islander	0
Adaminaby	Non-indigenous	301
Adaminaby	Torres Strait Islander	0
Adamstown	Aboriginal	160
Adamstown	Both Aboriginal & Torres Strait Islander	4
Adamstown	Non-indigenous	5875
Adamstown	Torres Strait Islander	5
Adamstown Heights	Aboriginal	124
Adamstown Heights	Both Aboriginal & Torres Strait Islander	4
Adamstown Heights	Non-indigenous	5171
Adamstown Heights	Torres Strait Islander	0
Adelong	Aboriginal	40
Adelong	Both Aboriginal & Torres Strait Islander	0
Adelong	Non-indigenous	903
Adelong	Torres Strait Islander	0
Adjungbilly	Aboriginal	0
Adjungbilly	Both Aboriginal & Torres Strait Islander	0
Adjungbilly	Non-indigenous	81
Adjungbilly	Torres Strait Islander	0
Afterlee	Aboriginal	0
Afterlee	Both Aboriginal & Torres Strait Islander	0
Afterlee	Non-indigenous	50
Afterlee	Torres Strait Islander	0
Agnes Banks	Aboriginal	38
Agnes Banks	Both Aboriginal & Torres Strait Islander	0
Agnes Banks	Non-indigenous	873
Agnes Banks	Torres Strait Islander	0
Airds	Aboriginal	485
Airds	Both Aboriginal & Torres Strait Islander	14
Airds	Non-indigenous	2412
Airds	Torres Strait Islander	15
Akolele	Aboriginal	61
Akolele	Both Aboriginal & Torres Strait Islander	3
Akolele	Non-indigenous	109
Akolele	Torres Strait Islander	0
Albert	Aboriginal	3
Albert	Both Aboriginal & Torres Strait Islander	0
Albert	Non-indigenous	78
Albert	Torres Strait Islander	0
Albion Park	Aboriginal	475
Albion Park	Both Aboriginal & Torres Strait Islander	14
Albion Park	Non-indigenous	12814
Albion Park	Torres Strait Islander	13
Albion Park Rail	Aboriginal	338
Albion Park Rail	Both Aboriginal & Torres Strait Islander	3
Albion Park Rail	Non-indigenous	6577
Albion Park Rail	Torres Strait Islander	0
Albury	Aboriginal	48
Albury	Both Aboriginal & Torres Strait Islander	0
Albury	Non-indigenous	4756
Albury	Torres Strait Islander	0
Aldavilla	Aboriginal	269
Aldavilla	Both Aboriginal & Torres Strait Islander	7
Aldavilla	Non-indigenous	950
Aldavilla	Torres Strait Islander	4
Alectown	Aboriginal	3
Alectown	Both Aboriginal & Torres Strait Islander	0
Alectown	Non-indigenous	165
Alectown	Torres Strait Islander	0
Alexandria	Aboriginal	140
Alexandria	Both Aboriginal & Torres Strait Islander	8
Alexandria	Non-indigenous	8114
Alexandria	Torres Strait Islander	0
Alfords Point	Aboriginal	23
Alfords Point	Both Aboriginal & Torres Strait Islander	0
Alfords Point	Non-indigenous	3086
Alfords Point	Torres Strait Islander	0
Alfredtown	Aboriginal	3
Alfredtown	Both Aboriginal & Torres Strait Islander	0
Alfredtown	Non-indigenous	106
Alfredtown	Torres Strait Islander	0
Alice	Aboriginal	0
Alice	Both Aboriginal & Torres Strait Islander	0
Alice	Non-indigenous	6
Alice	Torres Strait Islander	0
Alison (Central Coast - NSW)	Aboriginal	3
Alison (Central Coast - NSW)	Both Aboriginal & Torres Strait Islander	0
Alison (Central Coast - NSW)	Non-indigenous	92
Alison (Central Coast - NSW)	Torres Strait Islander	0
Alison (Dungog - NSW)	Aboriginal	5
Alison (Dungog - NSW)	Both Aboriginal & Torres Strait Islander	0
Alison (Dungog - NSW)	Non-indigenous	71
Alison (Dungog - NSW)	Torres Strait Islander	0
Allambie Heights	Aboriginal	42
Allambie Heights	Both Aboriginal & Torres Strait Islander	0
Allambie Heights	Non-indigenous	6967
Allambie Heights	Torres Strait Islander	0
Allandale (NSW)	Aboriginal	0
Allandale (NSW)	Both Aboriginal & Torres Strait Islander	0
Allandale (NSW)	Non-indigenous	73
Allandale (NSW)	Torres Strait Islander	0
Allawah	Aboriginal	23
Allawah	Both Aboriginal & Torres Strait Islander	0
Allawah	Non-indigenous	5683
Allawah	Torres Strait Islander	0
Alleena	Aboriginal	0
Alleena	Both Aboriginal & Torres Strait Islander	0
Alleena	Non-indigenous	61
Alleena	Torres Strait Islander	0
Allgomera	Aboriginal	11
Allgomera	Both Aboriginal & Torres Strait Islander	0
Allgomera	Non-indigenous	120
Allgomera	Torres Strait Islander	0
Allworth	Aboriginal	17
Allworth	Both Aboriginal & Torres Strait Islander	0
Allworth	Non-indigenous	149
Allworth	Torres Strait Islander	0
Allynbrook	Aboriginal	0
Allynbrook	Both Aboriginal & Torres Strait Islander	0
Allynbrook	Non-indigenous	64
Allynbrook	Torres Strait Islander	0
Alma Park	Aboriginal	0
Alma Park	Both Aboriginal & Torres Strait Islander	0
Alma Park	Non-indigenous	55
Alma Park	Torres Strait Islander	0
Alpine	Aboriginal	0
Alpine	Both Aboriginal & Torres Strait Islander	0
Alpine	Non-indigenous	135
Alpine	Torres Strait Islander	0
Alstonvale	Aboriginal	13
Alstonvale	Both Aboriginal & Torres Strait Islander	0
Alstonvale	Non-indigenous	429
Alstonvale	Torres Strait Islander	0
