SSC_NAME16	LabourForceStatus	persons
Aarons Pass	Employed (full-time)	6
Aarons Pass	Employed (part-time)	3
Aarons Pass	Not in the labour force	3
Abbotsbury	Employed (away from work)	106
Abbotsbury	Employed (full-time)	1517
Abbotsbury	Employed (part-time)	678
Abbotsbury	Not in the labour force	991
Abbotsbury	Unemployed (looking for work)	104
Abbotsford (NSW)	Employed (away from work)	113
Abbotsford (NSW)	Employed (full-time)	1814
Abbotsford (NSW)	Employed (part-time)	735
Abbotsford (NSW)	Not in the labour force	1472
Abbotsford (NSW)	Unemployed (looking for work)	96
Abercrombie	Employed (away from work)	23
Abercrombie	Employed (full-time)	354
Abercrombie	Employed (part-time)	188
Abercrombie	Not in the labour force	213
Abercrombie	Unemployed (looking for work)	21
Abercrombie River	Employed (full-time)	4
Abercrombie River	Employed (part-time)	6
Abercrombie River	Not in the labour force	7
Aberdare	Employed (away from work)	62
Aberdare	Employed (full-time)	536
Aberdare	Employed (part-time)	348
Aberdare	Not in the labour force	743
Aberdare	Unemployed (looking for work)	138
Aberdeen (NSW)	Employed (away from work)	58
Aberdeen (NSW)	Employed (full-time)	544
Aberdeen (NSW)	Employed (part-time)	303
Aberdeen (NSW)	Not in the labour force	543
Aberdeen (NSW)	Unemployed (looking for work)	66
Aberfoyle	Employed (away from work)	3
Aberfoyle	Employed (full-time)	44
Aberfoyle	Employed (part-time)	16
Aberfoyle	Not in the labour force	7
Aberfoyle	Unemployed (looking for work)	4
Aberglasslyn	Employed (away from work)	139
Aberglasslyn	Employed (full-time)	1719
Aberglasslyn	Employed (part-time)	837
Aberglasslyn	Not in the labour force	960
Aberglasslyn	Unemployed (looking for work)	173
Abermain	Employed (away from work)	66
Abermain	Employed (full-time)	545
Abermain	Employed (part-time)	347
Abermain	Not in the labour force	696
Abermain	Unemployed (looking for work)	93
Abernethy	Employed (away from work)	3
Abernethy	Employed (full-time)	68
Abernethy	Employed (part-time)	43
Abernethy	Not in the labour force	73
Abernethy	Unemployed (looking for work)	9
Abington (NSW)	Employed (full-time)	5
Acacia Creek	Employed (full-time)	9
Acacia Creek	Employed (part-time)	7
Acacia Creek	Not in the labour force	11
Acacia Creek	Unemployed (looking for work)	5
Acacia Gardens	Employed (away from work)	91
Acacia Gardens	Employed (full-time)	1482
Acacia Gardens	Employed (part-time)	505
Acacia Gardens	Not in the labour force	649
Acacia Gardens	Unemployed (looking for work)	108
Adaminaby	Employed (away from work)	8
Adaminaby	Employed (full-time)	87
Adaminaby	Employed (part-time)	44
